Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,Franchise,Console_Company
556,Missile Command,2600,1980,Shooter,Atari,2.56,0.17,0,0.03,2.76,80s,Other,Atari
1847,Moon Patrol,2600,1982,Shooter,Atari,1.05,0.06,0,0.01,1.12,80s,Other,Atari
5852,Mountain King,2600,1982,Action,CBS Electronics,0.29,0.02,0,0,0.31,80s,Other,Atari
4838,Mouse Trap,2600,1981,Action,Coleco,0.38,0.02,0,0,0.4,80s,Other,Atari
6344,Mr. Do!,2600,1982,Action,Coleco,0.26,0.02,0,0,0.27,80s,Other,Atari
8563,Mr. Do!'s Castle,2600,1983,Action,Parker Bros.,0.15,0.01,0,0,0.17,80s,Other,Atari
1126,Ms. Pac-Man,2600,1981,Puzzle,Atari,1.54,0.1,0,0.02,1.65,80s,Other,Atari
93,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81,80s,Other,Atari
4837,Pengo,2600,1983,Adventure,Atari,0.38,0.02,0,0,0.4,80s,Other,Atari
4380,Phoenix,2600,1981,Simulation,Atari,0.42,0.02,0,0,0.45,80s,Other,Atari
1527,Pitfall II: Lost Caverns,2600,1983,Platform,Activision,1.22,0.07,0,0.02,1.31,80s,Other,Atari
250,Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0,0.05,4.5,80s,Other,Atari
6209,Polaris,2600,1982,Action,Tigervision,0.26,0.02,0,0,0.28,80s,Other,Atari
1734,Pole Position,2600,1982,Racing,Atari,1.1,0.07,0,0.01,1.18,80s,Other,Atari
3792,Popeye,2600,1982,Platform,Parker Bros.,0.5,0.03,0,0.01,0.54,80s,Other,Atari
6822,Porky's,2600,1982,Action,20th Century Fox Video Games,0.23,0.01,0,0,0.25,80s,Other,Atari
8872,Pressure Cooker,2600,1982,Action,Activision,0.14,0.01,0,0,0.15,80s,Other,Atari
3491,Q*bert,2600,1982,Puzzle,Parker Bros.,0.55,0.03,0,0.01,0.58,80s,Other,Atari
4073,Raiders of the Lost Ark,2600,1981,Action,Atari,0.46,0.03,0,0.01,0.5,80s,Other,Atari
7031,Rampage,2600,1988,Action,Activision,0.22,0.01,0,0,0.24,80s,Other,Atari
7247,Reactor,2600,1981,Action,Parker Bros.,0.21,0.01,0,0,0.22,80s,Other,Atari
7462,RealSports Baseball,2600,1981,Sports,Atari,0.2,0.01,0,0,0.21,80s,Other,Atari
6022,RealSports Boxing,2600,1986,Sports,Atari,0.28,0.02,0,0,0.29,80s,Other,Atari
6607,RealSports Football,2600,1981,Sports,Atari,0.24,0.01,0,0,0.26,80s,Other,Atari
4068,RealSports Tennis,2600,1982,Sports,Atari,0.46,0.03,0,0.01,0.5,80s,Other,Atari
9619,RealSports Volleyball,2600,1981,Sports,Atari,0.12,0.01,0,0,0.13,80s,Other,Atari
1174,River Raid,2600,1981,Shooter,Activision,1.49,0.09,0,0.02,1.6,80s,Other,Atari
3989,River Raid II,2600,1988,Shooter,Activision,0.47,0.03,0,0.01,0.51,80s,Other,Atari
3454,Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,0.55,0.03,0,0.01,0.59,80s,Other,Atari
5142,Solaris,2600,1986,Shooter,Atari,0.35,0.02,0,0,0.37,80s,Other,Atari
2265,Spider-Man,2600,1981,Action,Parker Bros.,0.87,0.05,0,0.01,0.93,80s,Other,Atari
3684,The Activision Decathlon,2600,1982,Sports,Activision,0.52,0.03,0,0.01,0.55,80s,Other,Atari
3255,X-Man,2600,1982,Action,Universal Gamex,0.58,0.04,0,0.01,0.63,80s,Other,Atari
2663,Yars' Revenge,2600,1982,Shooter,Atari,0.73,0.04,0,0.01,0.78,80s,Other,Atari
7046,7th Dragon III Code: VFD,3DS,2015,Role-Playing,Sega,0.06,0.03,0.13,0.01,0.23,10s,Other,Nintendo
6096,Ace Attorney 6,3DS,2016,Adventure,Capcom,0,0,0.29,0,0.29,10s,Other,Nintendo
6774,Ace Combat: Assault Horizon Legacy,3DS,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.25,10s,Other,Nintendo
8765,Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013,Action,D3Publisher,0.1,0.04,0,0.01,0.16,10s,Other,Nintendo
6510,Aikatsu! 2-nin no My Princess,3DS,2013,Action,Namco Bandai Games,0,0,0.27,0,0.27,10s,Other,Nintendo
9561,Aikatsu! 365 Idol Days,3DS,2014,Adventure,Namco Bandai Games,0,0,0.13,0,0.13,10s,Other,Nintendo
7808,Aikatsu! Cinderella Lesson,3DS,2012,Role-Playing,Namco Bandai Games,0,0,0.2,0,0.2,10s,Other,Nintendo
5495,Angry Birds Star Wars,3DS,2013,Strategy,Activision,0.15,0.15,0,0.03,0.34,10s,Star Wars,Nintendo
3257,Angry Birds Trilogy,3DS,2012,Action,Activision,0.38,0.2,0,0.05,0.63,10s,Other,Nintendo
427,Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,0.61,1.11,1.42,0.14,3.27,10s,Other,Nintendo
70,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.17,2.53,4.56,0.41,9.67,10s,Other,Nintendo
4185,Art Academy: Lessons for Everyone,3DS,2012,Action,Nintendo,0.2,0.05,0.21,0.02,0.48,10s,Other,Nintendo
4121,Asphalt 3D,3DS,2011,Racing,Ubisoft,0.27,0.16,0.02,0.04,0.49,10s,Other,Nintendo
9292,Assassination Classroom: Grand Siege on Kuro-sensei,3DS,2015,Action,Namco Bandai Games,0,0,0.14,0,0.14,10s,Other,Nintendo
4649,Attack on Titan: Humanity in Chains,3DS,2013,Action,Screenlife,0,0,0.42,0,0.42,10s,Other,Nintendo
6433,Batman: Arkham Origins Blackgate,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.16,0.09,0,0.02,0.27,10s,Batman,Nintendo
9051,Ben 10 Galactic Racing,3DS,2011,Racing,D3Publisher,0.07,0.07,0,0.01,0.15,10s,Other,Nintendo
9400,BIT.TRIP SAGA,3DS,2011,Misc,Rising Star Games,0.09,0.04,0,0.01,0.14,10s,Other,Nintendo
1416,Bravely Default: Flying Fairy,3DS,2012,Role-Playing,Nintendo,0.5,0.32,0.49,0.08,1.39,10s,Other,Nintendo
3794,Bravely Second: End Layer,3DS,2015,Role-Playing,Nintendo,0.2,0.11,0.19,0.03,0.54,10s,Other,Nintendo
5794,Bust-A-Move Universe,3DS,2011,Puzzle,Square Enix,0.08,0.15,0.06,0.03,0.31,10s,Other,Nintendo
7182,Cars 2,3DS,2011,Racing,Disney Interactive Studios,0.21,0,0,0.02,0.23,10s,Cars,Nintendo
8982,Castlevania: Lords of Shadow - Mirror of Fate,3DS,2013,Action,Konami Digital Entertainment,0.04,0.07,0.03,0.01,0.15,10s,Castlevania,Nintendo
9135,Cave Story 3D,3DS,2011,Platform,Nippon Ichi Software,0.09,0.03,0.01,0.01,0.14,10s,Other,Nintendo
6390,Chibi-Robo! Zip Lash,3DS,2015,Platform,Nintendo,0.1,0.08,0.07,0.02,0.27,10s,Other,Nintendo
7339,Code Name: S.T.E.A.M.,3DS,2015,Strategy,Nintendo,0.14,0.05,0.02,0.02,0.22,10s,Other,Nintendo
7677,Code of Princess,3DS,2012,Action,Agatsuma Entertainment,0.16,0,0.03,0.01,0.2,10s,Other,Nintendo
4984,Combat of Giants: Dinosaurs 3D,3DS,2011,Strategy,Ubisoft,0.25,0.06,0.05,0.03,0.39,10s,Other,Nintendo
9849,Conception II: Children of the Seven Stars,3DS,2013,Role-Playing,Screenlife,0.09,0,0.03,0.01,0.12,10s,Other,Nintendo
3330,Cooking Mama 4: Kitchen Magic!,3DS,2011,Simulation,505 Games,0.5,0.07,0,0.05,0.61,10s,Other,Nintendo
9484,Crush3D,3DS,2012,Platform,Sega,0.08,0.04,0,0.01,0.13,10s,Other,Nintendo
8747,Culdcept,3DS,2012,Misc,Nippon Ichi Software,0,0,0.16,0,0.16,10s,Other,Nintendo
8090,Daigasso! Band Brothers P,3DS,2013,Misc,Nintendo,0,0,0.19,0,0.19,10s,Other,Nintendo
4410,Dead or Alive: Dimensions,3DS,2011,Fighting,Ubisoft Annecy,0.13,0.21,0.07,0.03,0.45,10s,Other,Nintendo
8971,Derby Stallion Gold,3DS,2014,Sports,Kadokawa Shoten,0,0,0.15,0,0.15,10s,Other,Nintendo
7764,Disney Art Academy,3DS,2016,Action,Nintendo,0.04,0.05,0.09,0.01,0.2,10s,Other,Nintendo
5749,Disney Infinity,3DS,2013,Action,Disney Interactive Studios,0.19,0.1,0,0.03,0.32,10s,Disney Infinity,Nintendo
3463,Disney Magic World 2,3DS,2015,Action,Nintendo,0.06,0.28,0.22,0.02,0.59,10s,Other,Nintendo
2237,Disney Magical World,3DS,2013,Adventure,Nintendo,0.17,0.2,0.53,0.03,0.94,10s,Other,Nintendo
8594,Doctor Lautrec and the Forgotten Knights,3DS,2011,Adventure,Konami Digital Entertainment,0.07,0.05,0.03,0.01,0.16,10s,Other,Nintendo
905,Donkey Kong Country Returns,3DS,2013,Platform,Nintendo,0.77,0.62,0.42,0.13,1.94,10s,Donkey Kong,Nintendo
6138,Dragon Ball Heroes: Ultimate Mission,3DS,2013,Misc,Namco Bandai Games,0,0,0.29,0,0.29,10s,Dragon Ball,Nintendo
5492,Dragon Ball Heroes: Ultimate Mission 2,3DS,2014,Strategy,Namco Bandai Games,0,0,0.34,0,0.34,10s,Dragon Ball,Nintendo
5347,Dragon Ball Z: Extreme Butoden,3DS,2015,Fighting,Namco Bandai Games,0.13,0.03,0.17,0.02,0.35,10s,Dragon Ball,Nintendo
5154,Dragon Ball: Fusions,3DS,2016,Role-Playing,Namco Bandai Games,0.09,0.05,0.23,0.01,0.37,10s,Dragon Ball,Nintendo
2643,Dragon Quest Monsters 2,3DS,2014,Role-Playing,Square Enix,0,0,0.79,0,0.79,10s,Dragon Quest,Nintendo
3168,Dragon Quest Monsters Joker 3,3DS,2016,Role-Playing,Square Enix,0,0,0.65,0,0.65,10s,Dragon Quest,Nintendo
2192,Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012,Role-Playing,Square Enix,0,0,0.96,0,0.96,10s,Dragon Quest,Nintendo
1231,Dragon Quest VII: Warriors of Eden,3DS,2013,Role-Playing,Square Enix,0.09,0.13,1.31,0.02,1.55,10s,Dragon Quest,Nintendo
2028,Dragon Quest VIII: Journey of the Cursed King,3DS,2015,Role-Playing,Square Enix,0.09,0.06,0.88,0.01,1.04,10s,Dragon Quest,Nintendo
8404,Dragon Quest X,3DS,2014,Role-Playing,Square Enix,0,0,0.17,0,0.17,10s,Dragon Quest,Nintendo
9991,DreamWorks Super Star Kartz,3DS,2011,Racing,Activision,0.08,0.03,0,0.01,0.12,10s,Other,Nintendo
4111,Epic Mickey: Power of Illusion,3DS,2012,Action,Disney Interactive Studios,0.36,0.04,0.04,0.04,0.49,10s,Other,Nintendo
6495,Etrian Mystery Dungeon,3DS,2015,Role-Playing,Nippon Ichi Software,0.1,0.01,0.14,0.01,0.27,10s,Other,Nintendo
5012,Etrian Odyssey IV: Legends of the Titans,3DS,2012,Role-Playing,Atlus,0.12,0.05,0.21,0.01,0.39,10s,Other,Nintendo
6564,Etrian Odyssey Untold: The Millennium Girl,3DS,2013,Role-Playing,Atlus,0.1,0.01,0.14,0.01,0.26,10s,Other,Nintendo
9336,Etrian Odyssey V,3DS,2016,Role-Playing,Atlus,0,0,0.14,0,0.14,10s,Other,Nintendo
8591,F1 2011,3DS,2011,Racing,Codemasters,0.07,0.08,0,0.02,0.16,10s,Other,Nintendo
8741,Famista Returns,3DS,2015,Sports,Namco Bandai Games,0,0,0.16,0,0.16,10s,Other,Nintendo
1840,Fantasy Life,3DS,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13,10s,Other,Nintendo
9343,Farming Simulator 2012,3DS,2012,Action,Excalibur Publishing,0,0.12,0,0.01,0.14,10s,Other,Nintendo
4980,FIFA 12,3DS,2011,Sports,Electronic Arts,0.08,0.26,0,0.05,0.39,10s,FIFA,Nintendo
6963,FIFA 14,3DS,2013,Sports,Electronic Arts,0,0.23,0,0.01,0.24,10s,FIFA,Nintendo
4164,FIFA 15,3DS,2014,Sports,Electronic Arts,0.09,0.36,0,0.03,0.48,10s,FIFA,Nintendo
6062,FIFA Soccer 13,3DS,2012,Action,Electronic Arts,0.06,0.2,0,0.03,0.29,10s,FIFA,Nintendo
3427,Final Fantasy Explorers,3DS,2014,Role-Playing,Square Enix,0.18,0.1,0.29,0.03,0.6,10s,Final Fantasy,Nintendo
953,Fire Emblem Fates,3DS,2015,Role-Playing,Nintendo,0.92,0.28,0.53,0.13,1.87,10s,Other,Nintendo
842,Fire Emblem: Awakening,3DS,2012,Role-Playing,Nintendo,0.9,0.46,0.56,0.13,2.06,10s,Other,Nintendo
5045,Fossil Fighters: Frontier,3DS,2014,Role-Playing,Nintendo,0.1,0.04,0.23,0.01,0.38,10s,Other,Nintendo
7562,Frogger 3D,3DS,2011,Action,Konami Digital Entertainment,0.16,0.03,0,0.01,0.21,10s,Other,Nintendo
3159,Frozen: Olaf's Quest,3DS,2013,Platform,Disney Interactive Studios,0.3,0.3,0,0.05,0.65,10s,Other,Nintendo
6881,Girls Mode 3: Kirakira Code,3DS,2015,Action,Nintendo,0,0,0.24,0,0.24,10s,Other,Nintendo
9553,Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,3DS,2014,Misc,Namco Bandai Games,0,0,0.13,0,0.13,10s,Other,Nintendo
7869,Great Phoenix Wright: Ace Attorney - Naruhodou Ryuunosuke no Bouken,3DS,2015,Action,Capcom,0,0,0.19,0,0.19,10s,Other,Nintendo
9650,Green Lantern: Rise of the Manhunters,3DS,2011,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0,0.01,0.13,10s,Other,Nintendo
2263,Harvest Moon 3D: A New Beginning,3DS,2012,Action,Marvelous Entertainment,0.41,0.17,0.31,0.05,0.93,10s,Other,Nintendo
8573,Harvest Moon: The Lost Valley,3DS,2014,Simulation,Natsume,0.13,0.01,0,0.02,0.16,10s,Other,Nintendo
8157,Hatsune Miku and Future Stars: Project Mirai,3DS,2012,Misc,Sega,0,0,0.18,0,0.18,10s,Other,Nintendo
7229,Hatsune Miku: Project Mirai 2,3DS,2013,Action,Sega,0,0,0.23,0,0.23,10s,Other,Nintendo
5173,Hatsune Miku: Project Mirai DX,3DS,2015,Misc,Sega,0.19,0.04,0.11,0.03,0.37,10s,Other,Nintendo
7509,Heroes of Ruin,3DS,2012,Role-Playing,Nintendo,0.13,0.07,0,0.02,0.21,10s,Other,Nintendo
4311,Hometown Story,3DS,2013,Role-Playing,Rising Star Games,0.26,0.12,0.04,0.04,0.46,10s,Other,Nintendo
9020,Hoppechan: Tsukutte! Asonde! Punipuni Town!!,3DS,2013,Action,Nippon Columbia,0,0,0.15,0,0.15,10s,Other,Nintendo
6254,How to Train Your Dragon 2,3DS,2014,Adventure,Little Orbit,0.04,0.22,0,0.02,0.28,10s,Other,Nintendo
3975,Hyrule Warriors,3DS,2016,Action,Nintendo,0.2,0.15,0.12,0.03,0.51,10s,Other,Nintendo
9182,Imagine: Fashion Designer,3DS,2011,Simulation,Ubisoft,0.11,0.02,0,0.01,0.14,10s,Other,Nintendo
3802,Inazuma Eleven GO,3DS,2011,Role-Playing,Nintendo,0,0.05,0.48,0,0.54,10s,Other,Nintendo
4264,Inazuma Eleven Go 2: Chrono Stone,3DS,2012,Role-Playing,Level 5,0,0.01,0.46,0,0.47,10s,Other,Nintendo
6540,Inazuma Eleven GO 3: Galaxy,3DS,2013,Sports,Level 5,0,0,0.26,0,0.26,10s,Other,Nintendo
8812,James Noir's Hollywood Crimes,3DS,2011,Adventure,Ubisoft,0.07,0.07,0,0.01,0.16,10s,Other,Nintendo
1573,Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.27,10s,Other,Nintendo
1188,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,Action,Square Enix,0.88,0.26,0.34,0.1,1.58,10s,Other,Nintendo
1802,Kirby: Planet Robobot,3DS,2016,Action,Nintendo,0.33,0.21,0.56,0.05,1.15,10s,Other,Nintendo
961,Kirby: Triple Deluxe,3DS,2014,Platform,Nintendo,0.62,0.34,0.8,0.1,1.86,10s,Other,Nintendo
6336,Kobitodzukan: Kobito Kansatsu Set,3DS,2012,Misc,Nippon Columbia,0,0,0.28,0,0.28,10s,Other,Nintendo
7938,Kuma-Tomo,3DS,2013,Misc,Namco Bandai Games,0,0,0.19,0,0.19,10s,Other,Nintendo
2650,LEGO Batman 2: DC Super Heroes,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.42,0.3,0,0.07,0.79,10s,LEGO,Nintendo
4174,Lego Batman 3: Beyond Gotham,3DS,2014,Action,Warner Bros. Interactive Entertainment,0.21,0.23,0,0.04,0.48,10s,LEGO,Nintendo
1198,LEGO City Undercover,3DS,2013,Platform,Nintendo,0.54,0.84,0.08,0.12,1.58,10s,LEGO,Nintendo
3022,LEGO Jurassic World,3DS,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.27,0.04,0.05,0.68,10s,LEGO,Nintendo
5654,LEGO Legends of Chima: Laval's Journey,3DS,2013,Adventure,Warner Bros. Interactive Entertainment,0.19,0.1,0,0.03,0.32,10s,LEGO,Nintendo
2258,LEGO Marvel Super Heroes,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.39,0.04,0.07,0.93,10s,LEGO,Nintendo
6725,LEGO Marvel's Avengers,3DS,2016,Action,Warner Bros. Interactive Entertainment,0.08,0.13,0.03,0.02,0.25,10s,LEGO,Nintendo
6702,LEGO Ninjago: Shadow of Ronin,3DS,2015,Action,Warner Bros. Interactive Entertainment,0.05,0.14,0.05,0.01,0.25,10s,LEGO,Nintendo
3288,LEGO Pirates of the Caribbean: The Video Game,3DS,2011,Action,Disney Interactive Studios,0.29,0.28,0,0.06,0.62,10s,LEGO,Nintendo
1836,LEGO Star Wars III: The Clone Wars,3DS,2011,Action,LucasArts,0.61,0.43,0,0.09,1.13,10s,LEGO,Nintendo
7252,Lego Star Wars: The Force Awakens,3DS,2016,Action,Warner Bros. Interactive Entertainment,0.05,0.14,0.02,0.01,0.22,10s,LEGO,Nintendo
6765,LEGO The Hobbit,3DS,2014,Action,Warner Bros. Interactive Entertainment,0.1,0.13,0,0.02,0.25,10s,LEGO,Nintendo
4844,LEGO The Lord of the Rings,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.21,0.16,0,0.03,0.4,10s,LEGO,Nintendo
7598,Little Battlers eXperience: Baku Boost,3DS,2012,Action,Nintendo,0,0,0.21,0,0.21,10s,Other,Nintendo
9731,Little Battlers eXperience: Wars,3DS,2013,Strategy,Level 5,0,0,0.13,0,0.13,10s,Other,Nintendo
233,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.86,1.42,1.14,0.3,4.72,10s,Other,Nintendo
4855,Madden NFL Football,3DS,2011,Sports,Electronic Arts,0.37,0.01,0,0.03,0.4,10s,Madden,Nintendo
7408,Magician's Quest: Town of Magic,3DS,2012,Simulation,Konami Digital Entertainment,0,0,0.21,0,0.21,10s,Other,Nintendo
